year,month,clt,scenario
2015,1,19.56928,future
2015,2,51.559376,future
2015,3,46.588493,future
2015,4,43.841084,future
2015,5,46.46577,future
2015,6,38.4931,future
2015,7,29.333038,future
2015,8,12.781402,future
2015,9,9.75098,future
2015,10,15.562207,future
2015,11,28.876019,future
2015,12,41.833687,future
2016,1,39.774467,future
2016,2,43.634422,future
2016,3,45.111355,future
2016,4,48.79119,future
2016,5,39.731285,future
2016,6,37.224457,future
2016,7,47.08596,future
2016,8,35.391293,future
2016,9,36.642426,future
2016,10,27.234903,future
2016,11,62.48623,future
2016,12,45.081623,future
2017,1,45.74056,future
2017,2,56.378674,future
2017,3,51.553265,future
2017,4,49.605846,future
2017,5,43.940056,future
2017,6,51.798317,future
2017,7,35.748283,future
2017,8,42.452034,future
2017,9,48.44257,future
2017,10,32.021057,future
2017,11,32.658592,future
2017,12,41.412994,future
2018,1,47.0013,future
2018,2,38.1523,future
2018,3,50.289894,future
2018,4,30.94931,future
2018,5,32.258476,future
2018,6,41.897243,future
2018,7,28.752188,future
2018,8,9.880498,future
2018,9,24.21078,future
2018,10,27.469885,future
2018,11,36.53215,future
2018,12,51.039276,future
2019,1,38.816185,future
2019,2,37.628582,future
2019,3,45.349648,future
2019,4,51.520996,future
2019,5,57.545887,future
2019,6,42.242516,future
2019,7,34.87948,future
2019,8,21.906483,future
2019,9,29.744638,future
2019,10,21.419643,future
2019,11,40.0158,future
2019,12,42.985085,future
2020,1,45.99246,future
2020,2,74.57353,future
2020,3,45.852135,future
2020,4,50.415653,future
2020,5,49.450417,future
2020,6,41.74929,future
2020,7,25.63621,future
2020,8,37.74997,future
2020,9,25.818695,future
2020,10,25.181595,future
2020,11,29.96532,future
2020,12,33.477173,future
2021,1,35.15385,future
2021,2,47.583458,future
2021,3,42.098408,future
2021,4,53.178192,future
2021,5,53.084816,future
2021,6,44.97901,future
2021,7,30.104458,future
2021,8,40.61405,future
2021,9,27.749744,future
2021,10,24.644709,future
2021,11,41.40094,future
2021,12,52.48462,future
2022,1,58.61036,future
2022,2,38.103645,future
2022,3,47.425865,future
2022,4,67.33397,future
2022,5,38.38468,future
2022,6,44.57007,future
2022,7,35.12728,future
2022,8,40.196465,future
2022,9,27.14364,future
2022,10,17.238886,future
2022,11,31.089514,future
2022,12,53.657673,future
2023,1,47.23027,future
2023,2,55.57731,future
2023,3,44.63523,future
2023,4,43.855244,future
2023,5,41.111736,future
2023,6,34.05477,future
2023,7,33.966377,future
2023,8,18.891376,future
2023,9,19.171415,future
2023,10,15.867221,future
2023,11,39.26895,future
2023,12,45.861813,future
2024,1,41.489834,future
2024,2,49.70187,future
2024,3,52.003395,future
2024,4,50.489834,future
2024,5,48.22946,future
2024,6,35.34185,future
2024,7,42.548428,future
2024,8,37.41392,future
2024,9,35.84688,future
2024,10,15.657751,future
2024,11,37.287823,future
2024,12,30.4534,future
2025,1,45.198994,future
2025,2,55.968895,future
2025,3,52.585045,future
2025,4,53.059742,future
2025,5,57.14738,future
2025,6,46.01039,future
2025,7,29.40398,future
2025,8,23.649693,future
2025,9,17.439209,future
2025,10,42.417854,future
2025,11,36.543064,future
2025,12,42.100605,future
2026,1,34.033455,future
2026,2,48.919044,future
2026,3,54.415955,future
2026,4,35.725258,future
2026,5,42.440063,future
2026,6,38.9676,future
2026,7,30.750132,future
2026,8,30.21223,future
2026,9,26.67389,future
2026,10,19.318796,future
2026,11,47.106316,future
2026,12,26.514141,future
2027,1,39.114006,future
2027,2,52.632378,future
2027,3,51.23921,future
2027,4,46.1847,future
2027,5,46.216637,future
2027,6,43.36291,future
2027,7,38.802235,future
2027,8,41.80927,future
2027,9,25.969318,future
2027,10,18.349552,future
2027,11,16.764553,future
2027,12,26.818104,future
2028,1,28.547222,future
2028,2,61.26095,future
2028,3,58.97741,future
2028,4,48.988316,future
2028,5,29.868155,future
2028,6,42.281982,future
2028,7,37.66929,future
2028,8,30.1041,future
2028,9,29.54538,future
2028,10,28.313562,future
2028,11,48.25518,future
2028,12,42.385002,future
2029,1,39.669823,future
2029,2,59.309105,future
2029,3,52.867382,future
2029,4,36.89681,future
2029,5,48.20646,future
2029,6,42.268394,future
2029,7,18.159494,future
2029,8,30.33578,future
2029,9,28.89062,future
2029,10,26.381678,future
2029,11,41.450954,future
2029,12,48.07125,future
2030,1,64.78639,future
2030,2,41.57102,future
2030,3,30.321356,future
2030,4,29.401134,future
2030,5,30.08176,future
2030,6,49.92196,future
2030,7,23.623981,future
2030,8,21.046581,future
2030,9,18.811834,future
2030,10,19.189291,future
2030,11,42.95591,future
2030,12,45.38588,future
2031,1,62.574974,future
2031,2,66.23138,future
2031,3,46.930855,future
2031,4,43.98672,future
2031,5,42.529705,future
2031,6,34.1982,future
2031,7,33.231213,future
2031,8,24.959066,future
2031,9,27.510845,future
2031,10,20.290638,future
2031,11,50.00987,future
2031,12,31.265705,future
2032,1,52.12261,future
2032,2,66.76778,future
2032,3,48.448467,future
2032,4,37.124382,future
2032,5,35.776344,future
2032,6,36.834827,future
2032,7,32.26776,future
2032,8,25.796986,future
2032,9,43.99933,future
2032,10,26.426434,future
2032,11,22.743328,future
2032,12,43.57953,future
2033,1,36.47187,future
2033,2,58.89734,future
2033,3,68.2607,future
2033,4,50.170357,future
2033,5,54.466087,future
2033,6,50.40719,future
2033,7,36.68391,future
2033,8,34.73531,future
2033,9,50.917034,future
2033,10,30.823639,future
2033,11,32.803276,future
2033,12,24.118713,future
2034,1,42.747173,future
2034,2,64.93219,future
2034,3,48.556953,future
2034,4,36.786034,future
2034,5,47.19133,future
2034,6,31.81106,future
2034,7,17.510977,future
2034,8,18.25642,future
2034,9,35.90119,future
2034,10,28.20813,future
2034,11,23.49828,future
2034,12,47.656696,future
2035,1,68.06634,future
2035,2,60.452526,future
2035,3,49.21936,future
2035,4,27.41741,future
2035,5,50.381844,future
2035,6,43.093082,future
2035,7,36.07641,future
2035,8,27.47694,future
2035,9,18.930542,future
2035,10,30.119965,future
2035,11,43.400974,future
2035,12,61.101196,future
2036,1,41.654705,future
2036,2,54.624367,future
2036,3,53.93438,future
2036,4,42.22439,future
2036,5,39.825886,future
2036,6,50.502155,future
2036,7,37.470528,future
2036,8,39.077778,future
2036,9,28.75622,future
2036,10,44.13531,future
2036,11,45.656372,future
2036,12,48.143677,future
2037,1,48.588886,future
2037,2,68.40373,future
2037,3,41.006588,future
2037,4,50.862392,future
2037,5,53.55653,future
2037,6,50.94799,future
2037,7,30.33609,future
2037,8,30.725983,future
2037,9,36.290123,future
2037,10,28.315546,future
2037,11,36.19347,future
2037,12,38.39234,future
2038,1,45.51579,future
2038,2,41.977303,future
2038,3,54.432068,future
2038,4,41.01367,future
2038,5,36.85325,future
2038,6,34.304028,future
2038,7,35.128677,future
2038,8,18.596863,future
2038,9,15.541964,future
2038,10,15.501398,future
2038,11,20.095064,future
2038,12,63.806618,future
2039,1,25.855362,future
2039,2,37.181538,future
2039,3,37.84926,future
2039,4,48.987495,future
2039,5,36.77517,future
2039,6,47.978703,future
2039,7,29.344929,future
2039,8,20.649479,future
2039,9,20.861729,future
2039,10,15.374522,future
2039,11,37.218792,future
2039,12,33.009605,future
2040,1,55.053173,future
2040,2,69.41145,future
2040,3,51.37146,future
2040,4,37.40617,future
2040,5,40.474876,future
2040,6,50.973595,future
2040,7,35.911354,future
2040,8,35.434883,future
2040,9,34.622337,future
2040,10,30.568989,future
2040,11,23.124088,future
2040,12,49.238415,future
2041,1,42.467674,future
2041,2,66.93881,future
2041,3,42.491974,future
2041,4,47.717495,future
2041,5,51.74105,future
2041,6,57.95867,future
2041,7,28.296133,future
2041,8,52.22931,future
2041,9,42.329834,future
2041,10,36.212883,future
2041,11,43.502674,future
2041,12,57.161186,future
2042,1,42.05736,future
2042,2,50.99713,future
2042,3,60.987537,future
2042,4,57.469322,future
2042,5,43.31289,future
2042,6,45.344654,future
2042,7,31.979223,future
2042,8,27.100906,future
2042,9,24.224327,future
2042,10,21.310104,future
2042,11,32.492226,future
2042,12,45.20722,future
2043,1,44.206192,future
2043,2,62.02301,future
2043,3,44.61382,future
2043,4,52.735462,future
2043,5,54.061096,future
2043,6,42.315266,future
2043,7,31.211908,future
2043,8,25.919033,future
2043,9,17.138609,future
2043,10,39.810722,future
2043,11,29.815496,future
2043,12,42.156124,future
2044,1,44.69364,future
2044,2,37.80016,future
2044,3,53.71046,future
2044,4,39.78179,future
2044,5,45.600365,future
2044,6,44.78489,future
2044,7,47.48435,future
2044,8,33.013634,future
2044,9,31.966282,future
2044,10,27.393875,future
2044,11,27.397654,future
2044,12,27.927582,future
2045,1,54.27059,future
2045,2,64.15432,future
2045,3,64.46626,future
2045,4,52.037926,future
2045,5,52.23342,future
2045,6,52.123924,future
2045,7,36.547325,future
2045,8,29.849646,future
2045,9,20.581593,future
2045,10,34.901012,future
2045,11,53.80061,future
2045,12,46.190544,future
2046,1,53.425667,future
2046,2,38.370705,future
2046,3,49.300385,future
2046,4,62.600166,future
2046,5,56.670704,future
2046,6,39.98095,future
2046,7,43.91458,future
2046,8,26.872013,future
2046,9,24.4212,future
2046,10,33.864635,future
2046,11,46.26672,future
2046,12,57.325306,future
2047,1,62.58019,future
2047,2,58.727974,future
2047,3,48.6363,future
2047,4,55.271202,future
2047,5,48.5478,future
2047,6,40.40397,future
2047,7,49.79402,future
2047,8,39.00371,future
2047,9,22.239584,future
2047,10,34.596825,future
2047,11,40.942783,future
2047,12,43.818127,future
2048,1,50.052467,future
2048,2,57.43107,future
2048,3,53.630096,future
2048,4,41.515686,future
2048,5,58.907978,future
2048,6,46.909813,future
2048,7,32.917877,future
2048,8,25.695065,future
2048,9,27.52388,future
2048,10,13.168261,future
2048,11,40.806988,future
2048,12,36.135548,future
2049,1,36.109684,future
2049,2,33.486366,future
2049,3,35.37956,future
2049,4,42.850014,future
2049,5,39.25185,future
2049,6,46.068962,future
2049,7,31.652386,future
2049,8,20.74812,future
2049,9,26.07334,future
2049,10,19.988394,future
2049,11,28.690262,future
2049,12,36.71766,future
2050,1,45.948444,future
2050,2,32.552032,future
2050,3,48.44696,future
2050,4,43.36927,future
2050,5,43.42817,future
2050,6,48.29496,future
2050,7,28.61142,future
2050,8,30.54903,future
2050,9,26.38029,future
2050,10,31.43487,future
2050,11,37.177227,future
2050,12,49.136433,future
2051,1,44.62163,future
2051,2,60.921955,future
2051,3,44.223824,future
2051,4,41.085785,future
2051,5,50.494522,future
2051,6,45.157196,future
2051,7,29.64005,future
2051,8,27.472157,future
2051,9,33.917908,future
2051,10,31.680262,future
2051,11,21.145947,future
2051,12,42.437904,future
2052,1,58.015625,future
2052,2,41.589996,future
2052,3,46.936607,future
2052,4,30.132504,future
2052,5,30.890162,future
2052,6,40.393097,future
2052,7,34.024277,future
2052,8,42.74928,future
2052,9,21.52268,future
2052,10,21.284231,future
2052,11,28.874187,future
2052,12,57.398216,future
2053,1,52.497845,future
2053,2,40.65719,future
2053,3,47.19854,future
2053,4,47.988422,future
2053,5,50.678814,future
2053,6,43.56418,future
2053,7,33.102985,future
2053,8,39.71315,future
2053,9,38.52695,future
2053,10,30.65234,future
2053,11,37.064423,future
2053,12,60.28581,future
2054,1,54.914806,future
2054,2,67.90517,future
2054,3,33.58745,future
2054,4,51.02594,future
2054,5,47.520874,future
2054,6,43.851944,future
2054,7,21.8814,future
2054,8,32.777336,future
2054,9,12.052908,future
2054,10,13.895227,future
2054,11,38.18409,future
2054,12,59.50904,future
2055,1,56.435936,future
2055,2,70.522156,future
2055,3,54.53414,future
2055,4,45.396038,future
2055,5,39.079304,future
2055,6,18.472788,future
2055,7,30.614643,future
